society,property_type,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
supertech araville,flat,sector 79,1.0,6535.0,1530.0,Carpet area: 1530 (142.14 sq.m.),2,2,3,4.0,,Relatively New,,,1530.0,1,0,0,0,0,0,24
ireo victory valley,flat,sector 67,4.5,14097.0,3192.0,Super Built up area 3192(296.55 sq.m.)Built Up area: 3160 sq.ft. (293.57 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,3+,0.0,North,Relatively New,3192.0,3160.0,3000.0,0,1,0,0,0,1,42
dlf city phase 1,house,sector 26,3.25,3681.0,8829.0,Plot area 109(91.14 sq.m.),3,3,3,2.0,West,Old Property,,981.0,,1,0,0,0,0,0,79
ashiana mulberry,flat,sohna road road,0.9,6143.0,1465.0,Super Built up area 1465(136.1 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3+,7.0,North-East,Moderately Old,1465.0,1100.0,1000.0,1,0,0,0,0,1,156
m3m merlin,flat,sector 67,3.0,14655.0,2047.0,Super Built up area 2047(190.17 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3+,4.0,North-East,Relatively New,2047.0,1900.0,1800.0,0,0,1,0,0,1,174
ireo the corridors,flat,sector 67a,2.0,11580.0,1727.0,Super Built up area 1727(160.44 sq.m.)Carpet area: 1017 sq.ft. (94.48 sq.m.),3,3,2,6.0,,Under Construction,1727.0,,1017.0,0,0,0,0,1,0,15
emaar mgf emerald floors premier,flat,sector 65,2.25,13636.0,1650.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,3.0,South-West,Relatively New,1650.0,1600.0,1350.0,1,1,0,0,0,1,49
ansal heights 86,flat,sector 86,0.78,5735.0,1360.0,Super Built up area 1360(126.35 sq.m.),2,2,1,8.0,East,New Property,1360.0,,,0,0,0,0,0,0,67
uphaar homes,flat,sector 105,0.45,4736.0,950.0,Carpet area: 950 (88.26 sq.m.),3,2,1,1.0,,Relatively New,,,950.0,0,0,0,0,0,1,44
emaar mgf palm hills,flat,sector 77,1.9,9500.0,2000.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1218.03 sq.ft. (113.16 sq.m.),3,4,3+,6.0,South-West,New Property,2000.0,,1218.03,0,1,0,0,0,1,42
supertech araville,flat,sector 79,1.35,9000.0,1500.0,Super Built up area 1530(142.14 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,6.0,East,New Property,1530.0,1350.0,1200.0,1,0,0,0,1,1,88
tulip lemon,flat,sector 69,0.62,12863.0,482.0,Carpet area: 482 (44.78 sq.m.),2,2,1,4.0,North-East,Relatively New,,,482.0,0,0,0,0,0,1,108
emaar mgf emerald floors premier,flat,sector 65,2.24,13575.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,2.0,North-West,Relatively New,,,1650.0,1,1,0,0,0,0,46
experion windchants,flat,sector 112,5.2,10726.0,4848.0,Super Built up area 4848(450.39 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,6,3+,15.0,East,Relatively New,4848.0,3655.35,3500.0,0,1,0,0,0,1,174
independent,house,sector 25,7.3,1560.0,5800.0,Plot area 215(179.77 sq.m.)Built Up area: 5800 sq.yards (4849.54 sq.m.)Carpet area: 5200 sq.yards (4347.86 sq.m.),9,9,2,3.0,North-West,Relatively New,,5800.0,5200.0,0,1,1,0,0,1,109
mian wali,house,sector 12,1.7,9444.0,1800.0,Plot area 1800(167.23 sq.m.),1,1,1,1.0,,Old Property,,1800.0,,0,1,0,0,0,0,7
pioneer araya,flat,sector 62,9.2,19943.0,4613.0,Super Built up area 4613(428.56 sq.m.)Carpet area: 3203 sq.ft. (297.57 sq.m.),4,6,3,5.0,South,Relatively New,4613.0,,3203.0,0,1,0,0,0,1,156
godrej air,flat,sector 85,1.3,14541.0,894.0,Super Built up area 1400(130.06 sq.m.)Carpet area: 894 sq.ft. (83.06 sq.m.),2,2,3,30.0,,Under Construction,1400.0,,894.0,0,0,0,0,0,0,111
tulip violet,flat,sector 69,1.46,9252.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,0.0,North-East,Relatively New,1578.0,,,0,0,0,0,0,1,174
pareena mi casa,flat,sector 68,1.7,8500.0,2000.0,Super Built up area 1999(185.71 sq.m.),4,4,3+,23.0,,New Property,1999.0,,,0,0,0,0,0,0,88
ireo victory valley,flat,sector 67,3.5,14583.0,2400.0,Super Built up area 2698(250.65 sq.m.)Built Up area: 2490 sq.ft. (231.33 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),3,4,3,24.0,North-East,Relatively New,2698.0,2490.0,2400.0,0,1,0,0,0,1,149
godrej,flat,sector 79,1.18,8532.0,1383.0,Super Built up area 1383(128.48 sq.m.),2,2,3,7.0,North-West,Relatively New,1383.0,,,0,0,0,0,0,0,158
gls arawali homes,flat,sohna road road,0.32,6722.0,476.0,Built Up area: 476 (44.22 sq.m.),2,1,0,0.0,,Undefined,,476.0,,0,0,0,0,0,0,0
independent,house,sector 57,8.31,24171.0,3438.0,Plot area 382(319.4 sq.m.),5,6,3+,4.0,North-East,Old Property,,3438.0,,1,1,1,0,0,0,34
signature global solera,flat,sector 107,0.5,7751.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,6.0,North-East,Relatively New,,,645.0,0,0,0,0,1,0,49
sobha city,flat,sector 108,2.1,13975.0,1503.0,Super Built up area 1381(128.3 sq.m.),2,2,2,3.0,,Under Construction,1381.0,,,0,0,0,0,0,0,74
independent,house,sector 4,3.3,14667.0,2250.0,Plot area 250(209.03 sq.m.),3,3,2,1.0,North-East,Old Property,,2250.0,,0,0,0,0,0,0,34
independent,house,sector 12,0.38,4222.0,900.0,Plot area 900(83.61 sq.m.),3,3,3,3.0,,Relatively New,,900.0,,0,0,0,0,0,0,0
the close north,flat,sector 50,2.97,11401.0,2605.0,Super Built up area 2605(242.01 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,3,3+,8.0,North,Moderately Old,2605.0,2600.0,2100.0,0,1,0,0,0,1,174
emaar gurgaon greens,flat,sector 102,1.4,8484.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,9.0,South-West,Relatively New,1650.0,,1200.0,0,1,0,0,0,0,49
international city by sobha phase 2,house,sector 109,9.5,26389.0,3600.0,Plot area 400(334.45 sq.m.),5,5,3+,2.0,South,Relatively New,,3600.0,,1,1,1,0,0,0,133
not applicable,house,sector 4,0.75,11718.0,640.0,Plot area 640(59.46 sq.m.),5,4,3,2.0,,Moderately Old,,640.0,,0,0,0,0,0,0,0
mvn athens,flat,sohna road road,0.26,5397.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5.0,,Relatively New,,,481.684525,0,0,0,0,0,0,95
the laburnum,house,sector 43,11.0,27160.0,4050.0,Plot area 450(376.26 sq.m.)Built Up area: 360 sq.yards (301.01 sq.m.)Carpet area: 350 sq.yards (292.64 sq.m.),5,6,3+,3.0,East,New Property,,360.0,350.0,0,1,0,0,0,1,160
indiabulls enigma,flat,sector 110,4.25,10953.0,3880.0,Super Built up area 3880(360.46 sq.m.),5,5,3+,4.0,East,Relatively New,3880.0,,,0,1,0,0,0,0,101
signature global solera,flat,sector 107,0.29,5930.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,3.0,East,Relatively New,,,489.0,0,0,0,0,0,0,45
signature global park,flat,sohna road road,0.95,7846.0,1211.0,Built Up area: 1210.73 (112.48 sq.m.)Carpet area: 756.6 sq.ft. (70.29 sq.m.),3,2,3+,1.0,,Relatively New,,1210.723472,756.6,0,0,0,0,0,0,46
dlf city plots phase 2,house,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3+,3.0,East,Old Property,,1800.0,,1,1,1,0,0,1,134
vatika gurgaon,flat,sector 83,1.19,7437.0,1600.0,Carpet area: 1600 (148.64 sq.m.),3,3,2,10.0,South,Relatively New,,,1600.0,0,1,0,0,0,1,35
ild greens,flat,sector 37c,0.78,5714.0,1365.0,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,1.0,North,Moderately Old,1365.0,1068.1,900.0,0,0,0,0,0,1,103
bptp astaire gardens,flat,sector 70a,1.2,7058.0,1700.0,Super Built up area 1700(157.94 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,2.0,,Relatively New,1700.0,1450.0,,0,0,0,0,0,2,38
not applicable,flat,sector 4,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,1,3.0,,Relatively New,,,750.0,0,0,0,0,0,1,26
independent,house,sector 28,4.5,13889.0,3240.0,Built Up area: 360 (33.45 sq.m.),4,4,0,4.0,,Undefined,,360.0,,0,0,0,0,0,0,0
breez global hill view,flat,sohna road road,0.3,5403.0,555.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),2,2,2,6.0,North-East,New Property,655.0,,555.0,0,0,0,0,0,0,109
ss the leaf,flat,sector 85,2.0,8305.0,2408.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,3,6.0,North,Relatively New,2408.0,2300.0,2200.0,0,1,0,0,0,0,49
tulip ivory,flat,sector 70,2.1,8750.0,2400.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4,5,3+,5.0,West,Moderately Old,2400.0,,1850.0,0,1,0,0,0,1,120
raheja vedaanta,flat,sector 108,0.65,4761.0,1365.0,Super Built up area 1365(126.81 sq.m.),2,2,2,5.0,East,Relatively New,1365.0,,,0,0,0,0,0,1,174
independent,house,sector 14,4.15,18444.0,2250.0,Plot area 250(209.03 sq.m.),5,4,2,2.0,North-West,Old Property,,2250.0,,0,0,0,0,0,1,51
tulip violet,flat,sector 69,1.68,10071.0,1668.0,Super Built up area 1668(154.96 sq.m.),3,3,2,0.0,West,Relatively New,1668.0,,,0,0,0,0,0,0,157
central park flower valley,flat,sector 33 road,1.79,11251.0,1591.0,Super Built up area 1789(166.2 sq.m.),3,3,3,3.0,South,Old Property,1789.0,,,0,0,0,0,0,0,71
ats tourmaline,flat,sector 109,1.75,8139.0,2150.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,9.0,North-East,Relatively New,2150.0,,,0,1,0,0,0,0,94
experion windchants,flat,sector 112,4.25,11294.0,3763.0,Super Built up area 3763(349.59 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),3,5,2,15.0,South,Relatively New,3763.0,3000.0,2800.0,0,1,0,0,0,0,72
m3m woodshire,flat,sector 107,0.9,6590.0,1366.0,Super Built up area 1366(126.91 sq.m.),2,2,3+,10.0,,Relatively New,1366.0,,,0,0,0,0,1,1,49
dlf the ultima,flat,sector 81,2.26,10761.0,2100.0,Super Built up area 2100(195.1 sq.m.),3,4,3+,17.0,West,New Property,2100.0,,,0,1,0,0,0,2,174
independent,house,sector 43,8.5,31481.0,2700.0,Plot area 300(250.84 sq.m.),5,5,3,3.0,West,Moderately Old,,2700.0,,0,1,0,0,0,1,113
unitech uniworld resorts,house,sector 33,8.5,17820.0,4770.0,Plot area 530(443.15 sq.m.),5,5,3+,3.0,North,New Property,,4770.0,,1,1,1,0,0,1,145
park royal apartment,flat,sector 56,1.85,9024.0,2050.0,Carpet area: 2050 (190.45 sq.m.),3,4,3,7.0,,Old Property,,,2050.0,0,1,0,0,0,0,72
paras dews,flat,sector 106,1.35,8940.0,1510.0,Carpet area: 1510 (140.28 sq.m.),4,3,3,19.0,,Old Property,,,1510.0,0,1,0,0,0,0,112
experion the heartsong,flat,sector 108,2.08,9904.0,2100.0,Built Up area: 2631 (244.43 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4,4,3+,3.0,East,Relatively New,,2631.0,2100.0,0,1,0,0,0,0,126
imt view society,flat,manesar,0.95,3653.0,2601.0,Super Built up area 2600(241.55 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),3,4,3,6.0,South-East,Moderately Old,2600.0,,1900.0,0,1,0,0,0,0,81
vatika city homes,flat,sector 83,1.05,8571.0,1225.0,Super Built up area 1740(161.65 sq.m.)Carpet area: 1225 sq.ft. (113.81 sq.m.),3,3,3,8.0,South-East,Moderately Old,1740.0,,1225.0,0,0,0,0,0,1,103
aipl zen residences,flat,sector 70a,1.75,10257.0,1706.0,Built Up area: 1706 (158.49 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3,4,3+,20.0,North-East,Relatively New,,1706.0,1050.0,0,0,0,0,1,2,49
dlf the ultima,flat,sector 81,2.2,11190.0,1966.0,Super Built up area 2100(195.1 sq.m.),3,4,3+,7.0,North-East,Relatively New,2100.0,,,0,1,0,0,0,2,104
independent,house,sector 3 phase 2,0.4,8000.0,500.0,Built Up area: 500 (46.45 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.),2,1,0,1.0,South,Undefined,,500.0,300.0,0,0,0,0,0,0,0
independent,house,sector 7,1.95,13542.0,1440.0,Plot area 160(133.78 sq.m.),2,2,2,2.0,,Old Property,,1440.0,,0,0,0,0,0,0,0
ats tourmaline,flat,sector 109,1.75,10000.0,1750.0,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.)Carpet area: 1460 sq.ft. (135.64 sq.m.),3,3,3,4.0,,New Property,1750.0,1466.0,1460.0,0,0,0,0,0,0,31
bptp terra,flat,sector 37d,1.77,8078.0,2191.0,Super Built up area 2191(203.55 sq.m.)Carpet area: 1860 sq.ft. (172.8 sq.m.),4,3,3,15.0,North,Relatively New,2191.0,,1860.0,1,1,0,0,1,0,49
sunischit apartments,flat,sector 54,1.75,7954.0,2200.0,Super Built up area 2200(204.39 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,3,3+,6.0,North-East,Moderately Old,2200.0,2100.0,2000.0,0,1,0,0,0,1,126
rof ananda,flat,sector 95,0.55,8527.0,645.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,14.0,East,New Property,1000.0,,645.0,1,0,0,0,0,1,81
independent,house,sector 104,0.45,12162.0,370.0,Plot area 370(34.37 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4,4,2,4.0,North,Moderately Old,,,1500.0,0,0,0,0,0,1,7
godrej nature plus,flat,sector 33 road,1.4,9333.0,1500.0,Super Built up area 1500(139.35 sq.m.)Carpet area: 1385 sq.ft. (128.67 sq.m.),2,2,3,14.0,,Under Construction,1500.0,,1385.0,0,0,0,0,0,0,67
city heights,flat,sector 39,1.75,8750.0,2000.0,Carpet area: 2000 (185.81 sq.m.),3,4,3,3.0,,Old Property,,,2000.0,0,1,0,0,0,2,42
tata primanti,flat,sector 72,3.19,12152.0,2625.0,Super Built up area 2625(243.87 sq.m.),4,5,3+,20.0,North,Relatively New,2625.0,,,0,1,0,0,0,1,159
umang winter hills,flat,sector 77,0.75,5588.0,1342.0,Super Built up area 1342(124.68 sq.m.)Built Up area: 1140 sq.ft. (105.91 sq.m.)Carpet area: 969 sq.ft. (90.02 sq.m.),2,2,2,8.0,South,Relatively New,1342.0,1140.0,969.0,0,0,1,0,0,1,102
godrej frontier,flat,sector 80,1.4,6189.0,2262.0,Super Built up area 2262(210.15 sq.m.)Built Up area: 1854 sq.ft. (172.24 sq.m.)Carpet area: 1576 sq.ft. (146.42 sq.m.),3,4,2,10.0,North-West,Moderately Old,2262.0,1854.0,1576.0,0,0,1,0,0,0,111
shapoorji pallonji joyville gurugram,flat,sector 102,1.76,10224.0,1721.0,Super Built up area 1692(157.19 sq.m.),3,3,3,1.0,North-East,Relatively New,1692.0,,,0,0,0,0,0,0,100
vatika sovereign next sector-82 a gurgaon,flat,sector 82a,2.91,6700.0,4343.0,Super Built up area 4350(404.13 sq.m.)Carpet area: 3480 sq.ft. (323.3 sq.m.),4,4,3,6.0,East,Under Construction,4350.0,,3480.0,1,1,1,0,0,1,79
dlf the skycourt,flat,sector 86,2.2,11500.0,1913.0,Super Built up area 1930(179.3 sq.m.),3,3,1,7.0,,Relatively New,1930.0,,,0,0,0,0,0,2,77
dlf regal gardens,flat,sector 90,1.13,6647.0,1700.0,Super Built up area 1730(160.72 sq.m.),3,3,3+,8.0,North,Relatively New,1730.0,,,0,0,0,0,1,0,72
dlf new town heights,flat,sector 90,1.54,6514.0,2364.0,Super Built up area 2364(219.62 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4,4,3+,12.0,South-West,Moderately Old,2364.0,2200.0,1850.0,0,1,0,0,0,1,111
independent,house,sector 1,4.75,10556.0,4500.0,Built Up area: 4500 (418.06 sq.m.),6,7,0,4.0,,Undefined,,4500.0,,0,0,0,0,0,0,0
godrej oasis,flat,sector 88a,1.3,7258.0,1791.0,Carpet area: 1791 (166.39 sq.m.),3,3,3+,4.0,North-West,Relatively New,,,1791.0,0,0,0,0,0,0,79
awho shanti vihar,flat,sector 95,0.82,9879.0,830.0,Super Built up area 1400(130.06 sq.m.)Carpet area: 830 sq.ft. (77.11 sq.m.),2,2,3+,13.0,East,New Property,1400.0,,830.0,1,0,0,0,0,0,114
bestech park view residency,flat,sector 2,0.98,6932.0,1414.0,Super Built up area 1415(131.46 sq.m.),2,2,3,11.0,East,Moderately Old,1415.0,,,0,0,0,0,0,0,83
vatika gurgaon,flat,sector 83,1.12,6455.0,1735.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,17.0,South,Moderately Old,1735.0,1500.0,1400.0,0,0,0,0,0,1,111
indiabulls enigma,flat,sector 110,3.4,10000.0,3400.0,Super Built up area 3400(315.87 sq.m.),4,5,3,3.0,East,Relatively New,3400.0,,,0,1,1,0,0,0,90
kendriya vihar,flat,sector 56,0.55,9016.0,610.0,Carpet area: 610 (56.67 sq.m.),1,2,1,0.0,,Old Property,,,610.0,0,0,0,0,0,0,68
tulip purple,flat,sector 69,2.6,10833.0,2400.0,Super Built up area 2400(222.97 sq.m.),4,4,3+,4.0,,Moderately Old,2400.0,,,0,1,0,0,0,0,37
chd avenue,flat,sector 71,1.32,6019.0,2193.0,Super Built up area 2193(203.74 sq.m.),4,4,3,14.0,South,Moderately Old,2193.0,,,0,1,0,0,0,0,65
orris carnation residency,flat,sector 85,0.9,4531.0,1986.0,Super Built up area 1975(183.48 sq.m.)Built Up area: 1575 sq.ft. (146.32 sq.m.)Carpet area: 1435 sq.ft. (133.32 sq.m.),4,4,3,8.0,East,Moderately Old,1975.0,1575.0,1435.0,0,0,0,0,0,1,40
dlf new town heights,flat,sector 86,1.4,5942.0,2356.0,Super Built up area 2356(218.88 sq.m.),4,4,3+,20.0,South-East,Relatively New,2356.0,,,0,1,0,0,0,0,65
m3m heights,flat,sector 65,1.9,13991.0,1358.0,Built Up area: 1358 (126.16 sq.m.),2,2,2,40.0,,Undefined,,1358.0,,0,0,0,0,0,0,48
independent,house,sector 24,5.25,38889.0,1350.0,Plot area 163(136.29 sq.m.)Built Up area: 160 sq.yards (133.78 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),4,4,3+,2.0,East,Relatively New,,160.0,150.0,0,1,0,0,0,1,72
independent,house,sohna road road,0.95,8920.0,1065.0,Plot area 1065(98.94 sq.m.),10,10,3+,3.0,,New Property,,1065.0,,0,0,0,0,0,0,0
gls arawali homes,flat,sohna road road,0.28,4307.0,650.0,Super Built up area 650(60.39 sq.m.),2,2,2,12.0,,New Property,650.0,,,0,0,0,0,0,0,0
m3m capital,flat,sector 113,2.51,14800.0,1696.0,Super Built up area 1695(157.47 sq.m.),3,3,3+,2.0,North-West,Under Construction,1695.0,,,1,0,0,0,0,0,49
m3m sierra 68,flat,sector 68,1.1,8986.0,1224.0,Super Built up area 1224(113.71 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 830 sq.ft. (77.11 sq.m.),2,2,3,1.0,North-East,Relatively New,1224.0,1150.0,830.0,0,0,0,0,0,1,127
bestech park view residency,flat,sector 2,1.4,7865.0,1780.0,Super Built up area 1780(165.37 sq.m.),3,3,3+,8.0,South-West,Moderately Old,1780.0,,,0,0,0,0,0,0,92
bhim garh kheri,house,sector 3,0.75,6410.0,1170.0,Plot area 130(108.7 sq.m.),4,2,2,2.0,West,Old Property,,1170.0,,0,0,0,0,0,0,16
central park flower valley cerise floors,house,sector 33 road,1.35,11157.0,1210.0,Built Up area: 1210 (112.41 sq.m.),2,2,2,4.0,East,New Property,,1210.0,,1,0,0,0,0,2,107
la vida by tata housing,flat,sector 113,2.48,14090.0,1760.0,Super Built up area 2217(205.97 sq.m.)Built Up area: 1980 sq.ft. (183.95 sq.m.)Carpet area: 1760 sq.ft. (163.51 sq.m.),3,3,3+,8.0,,New Property,2217.0,1980.0,1760.0,0,1,0,0,0,0,79
independent,house,sector 2,2.95,15989.0,1845.0,Plot area 205(171.41 sq.m.),4,4,3+,2.0,North-West,Old Property,,1845.0,,0,0,0,0,0,0,27
corona optus,flat,sector 37c,1.44,7250.0,1986.0,Carpet area: 1990 (184.88 sq.m.),3,3,3+,8.0,North-West,New Property,,,1990.0,0,1,0,0,0,0,37
signature global the millennia 3,flat,sector 37d,0.45,7627.0,590.0,Carpet area: 590 (54.81 sq.m.),2,3,2,8.0,,Under Construction,,,590.0,0,0,0,0,0,0,8
independent,house,sector 47,5.15,26615.0,1935.0,Plot area 215(179.77 sq.m.),9,9,3+,3.0,East,Relatively New,,1935.0,,0,0,1,0,0,1,75
emaar palm gardens,flat,sector 83,1.4,9675.0,1447.0,Super Built up area 1720(159.79 sq.m.)Carpet area: 1447 sq.ft. (134.43 sq.m.),3,3,3,11.0,North,Relatively New,1720.0,,1447.0,0,1,0,0,0,2,58
independent,house,sector 15,1.07,11888.0,900.0,Plot area 900(83.61 sq.m.),2,2,1,1.0,,Old Property,,900.0,,0,1,0,0,0,0,7
dlf the icon,flat,sector 43,5.25,20388.0,2575.0,Super Built up area 2575(239.23 sq.m.)Built Up area: 2570 sq.ft. (238.76 sq.m.)Carpet area: 2560 sq.ft. (237.83 sq.m.),4,4,3,9.0,North,Old Property,2575.0,2570.0,2560.0,0,1,0,0,1,0,135
hcbs sports ville,flat,sohna road road,0.32,6165.0,519.0,Carpet area: 519 (48.22 sq.m.),2,2,2,2.0,,New Property,,,519.0,0,0,0,0,0,0,37
mvn athens,flat,sohna road road,0.25,5189.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,3.0,East,Relatively New,,,481.684525,0,0,0,0,0,0,51
m3m soulitude,flat,sector 89,1.42,9978.0,1423.0,Carpet area: 1423 (132.2 sq.m.),3,3,2,3.0,,New Property,,,1423.0,0,0,0,0,0,0,15
malibu towne,house,sector 47,1.15,4646.0,2475.0,Plot area 275(25.55 sq.m.),3,3,3,2.0,North-East,Old Property,,275.0,,0,0,0,0,0,1,33
signature global city 37d ph 2,flat,sector 37d,1.1,8148.0,1350.0,Carpet area: 1350 (125.42 sq.m.),3,3,1,2.0,North,Under Construction,,,1350.0,0,0,0,0,0,0,30
godrej habitat,flat,sector 3,1.3,9002.0,1444.0,Carpet area: 1444 (134.15 sq.m.),2,2,2,6.0,,Under Construction,,,1444.0,0,0,0,0,0,0,36
godrej air,flat,sector 85,1.05,10603.0,990.0,Built Up area: 97 Carpet area: 92 sq.m.,2,2,1,15.0,East,Under Construction,,97.0,92.0,0,0,0,0,0,0,45
ambience creacions,flat,sector 22,1.99,15546.0,1280.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1285 sq.ft. (119.38 sq.m.)Carpet area: 1280 sq.ft. (118.92 sq.m.),2,2,2,9.0,North-East,New Property,1380.0,1285.0,1280.0,0,0,0,0,0,0,49
shree vardhman victoria,flat,sector 70,1.65,8461.0,1950.0,Carpet area: 1950 (181.16 sq.m.),3,3,2,6.0,North-West,Relatively New,,,1950.0,1,0,0,0,0,0,72
emaar mgf emerald floors premier,flat,sector 65,2.9,14683.0,1975.0,Carpet area: 1975 (183.48 sq.m.),4,4,0,0.0,North,Relatively New,,,1975.0,0,0,1,0,0,0,50
m3m woodshire,flat,sector 107,1.4,5929.0,2361.0,Super Built up area 2361(219.34 sq.m.),3,4,3+,6.0,North-East,Relatively New,2361.0,,,0,1,0,0,0,0,117
experion windchants,flat,sector 112,2.5,13888.0,1800.0,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2,2,3,10.0,East,Relatively New,2441.0,1939.03,1800.0,1,0,0,0,0,1,174
international city by sobha phase 2,house,sector 109,6.25,10035.0,6228.0,Plot area 692(578.6 sq.m.),5,7,3+,3.0,North-East,Relatively New,,6228.0,,1,1,1,0,0,0,147
ambience creacions,flat,sector 22,1.75,12700.0,1378.0,Super Built up area 1380(128.21 sq.m.),2,2,2,11.0,,Under Construction,1380.0,,,0,0,0,0,0,0,57
tulip ivory,flat,sector 70,2.0,8333.0,2400.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4,5,3+,6.0,East,Moderately Old,2400.0,,1850.0,0,1,0,0,0,1,95
raheja vedaanta,flat,sector 108,1.25,5681.0,2200.0,Super Built up area 2200(204.39 sq.m.),3,2,0,0.0,,Relatively New,2200.0,,,0,0,0,0,0,1,65
emaar gurgaon greens,flat,sector 102,1.55,9393.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,4,3,7.0,North,Relatively New,1650.0,,1022.58,0,1,0,0,0,1,152
m3m merlin,flat,sector 67,2.78,13580.0,2047.0,Super Built up area 2047(190.17 sq.m.),3,3,3+,4.0,South-West,Relatively New,2047.0,,,0,0,0,0,0,1,157
eldeco accolade,flat,sector 33 road,1.2,8043.0,1492.0,Built Up area: 1492 (138.61 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,2,0.0,North,New Property,,1492.0,900.0,1,0,0,0,0,0,55
tarc maceo,flat,sector 91,0.95,5954.0,1596.0,Super Built up area 1310(121.7 sq.m.),2,2,2,10.0,East,Relatively New,1310.0,,,0,0,0,0,0,0,77
the lions cghs,flat,sector 56,2.09,8708.0,2400.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),4,4,3+,7.0,East,Relatively New,2400.0,2300.0,2200.0,0,0,0,0,1,1,125
signature global city,flat,sector 37d,1.25,6082.0,2055.0,Carpet area: 2055 (190.92 sq.m.),3,3,3,4.0,,Under Construction,,,2055.0,0,0,0,0,0,0,16
