society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
independent,house,sector 25,6.5,36111.0,4,4,3+,2.0,Moderately Old,1800.0,1,1,1,0,0,0,61,"28.4844° N, 77.0860° E",28.4844,77.086
godrej oasis,flat,sector 88a,1.15,9856.0,2,2,1,12.0,New Property,294.38783696200005,1,0,0,0,0,0,79,"28.4347° N, 76.9557° E",28.4347,76.9557
tulip violet,flat,sector 69,3.05,9664.0,4,5,3+,14.0,Relatively New,2811.39565441,0,1,0,0,1,0,49,"28.3966° N, 77.0341° E",28.3966,77.0341
ansal estella,flat,sector 103,1.5,8670.0,3,3,3+,6.0,Under Construction,1723.7788709150002,0,0,0,0,0,0,58,"28.4949° N, 76.9845° E",28.4949,76.9845
la vida by tata housing,flat,sector 113,2.78,10334.0,3,4,3+,5.0,Relatively New,2350.0,0,1,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
green campus chs,flat,manesar,0.9,3935.0,3,3,3+,6.0,Moderately Old,2032.90214345,0,1,0,0,0,0,5,"28.3515° N, 76.9428° E",28.3515,76.9428
independent,house,sector 31,3.5,24155.0,4,4,3,2.0,Old Property,1449.0,0,0,1,0,0,1,70,"28.4528° N, 77.0498° E",28.4528,77.0498
shapoorji pallonji joyville gurugram,flat,sector 102,2.0,10799.0,3,3,3,9.0,Relatively New,1643.20746305,0,0,0,0,0,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
m3m skycity,flat,sector 65,3.5,17039.0,3,3,3,15.0,New Property,2243.18451613,1,1,0,0,0,1,166,"28.4030° N, 77.0690° E",28.403,77.069
independent,house,sector 24,6.5,22855.0,4,4,2,2.0,Old Property,2844.0,0,0,0,0,0,0,35,"28.4939° N, 77.1038° E",28.4939,77.1038
sobha city,flat,sector 108,2.4,17378.0,2,2,2,14.0,New Property,1221.26218841,0,0,0,0,0,1,113,"28.5134° N, 76.9830° E",28.5134,76.983
independent,house,sector 105,1.3,11555.0,3,3,1,2.0,Moderately Old,1125.0,0,0,0,0,0,0,16,"28.4952° N, 77.0114° E",28.4952,77.0114
ss the leaf,flat,sector 85,2.2,6934.0,4,5,3+,4.0,Relatively New,2503.22330945,0,0,0,0,0,0,106,"28.4042° N, 76.9513° E",28.4042,76.9513
